Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
2301 10TH ST,RENTED - Rented or Available,2/15/13,"$1,294.13","Appliances, Garbage, Parking, Storage",# Bed: 1# Occ: 1
2303 10TH ST,RENTED - Rented or Available,1/19/13,"$1,345.89","Appliances, Garbage, Parking, Storage",# Bed: 1# Occ: 2
2304 10TH ST,OOCC - Owner Occupied since 7/3/2003,n/a,n/a,Garbage,n/a
2309 10TH ST,(~) MISC - Exempt-Misc since 12/14/1993,n/a,n/a,(no active services),n/a
2311 10TH ST,(~) MISC - Exempt-Misc since 4/1/2004,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking, Storage",n/a
2314 10TH ST #A,NAR - Not Available for Rent since 4/21/2009,n/a,n/a,(no active services),n/a
2314 10TH ST #B,(~) MISC - Exempt-Misc since 8/1/2003,n/a,n/a,"Appliances, Heat, Laundry Access, Other, Parking, Storage",n/a
2314 10TH ST #C,NAR - Not Available for Rent since 7/1/2005,n/a,n/a,"Appliances, Parking",n/a
2314 10TH ST #D,(~) MISC - Exempt-Misc since 11/7/2003,n/a,n/a,"Appliances, Garbage, Parking",n/a
2314 10TH ST #E,(~) MISC - Exempt-Misc since 5/30/2003,n/a,n/a,"Electricity, Furnishings, Garbage, Gas, Parking, Water",n/a
2321 10TH ST #A,(~) MISC - Exempt-Misc since 7/1/2016,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking, Water",n/a
2321 10TH ST #B,RENTED - Rented or Available,5/1/13,$931.77,"Garbage, Laundry Access, Other, Parking, Water",# Bed: 1# Occ: 1
2321 10TH ST #C,RENTED - Rented or Available since 4/1/1987,n/a,$616.00,"Garbage, Laundry Access, Parking, Water",# Bed: 1
2321 10TH ST #D,RENTED - Rented or Available,11/1/06,"$1,266.12","Garbage, Laundry Access, Water",# Bed: 2# Occ: 1
2323 10TH ST #E,(~) MISC - Exempt-Misc since 11/1/2009,n/a,n/a,"Garbage, Laundry Access, Parking",n/a
2323 10TH ST #F,(~) MISC - Exempt-Misc since 11/1/2009,n/a,n/a,"Electricity, Garbage, Laundry Access, Parking",n/a
2323 10TH ST #G,(~) MISC - Exempt-Misc since 10/1/2009,n/a,n/a,"Appliances, Garbage, Laundry Access",n/a
2323 10TH ST #H,(~) MISC - Exempt-Misc since 11/1/2009,n/a,n/a,"Garbage, Laundry Access, Parking",n/a
2326 10TH ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Storage, Water",n/a
2326 10TH ST #1/2,RENTED - Rented or Available,5/1/12,$947.61,"Appliances, Garbage, Laundry Access, Storage",# Bed: 1# Occ: 2
2327 10TH ST #1,OOCC - Owner Occupied since 5/31/2007,n/a,n/a,(no active services),n/a
2327 10TH ST #2,OOCC - Owner Occupied since 5/31/2007,n/a,n/a,(no active services),n/a
2327 10TH ST #3,OOCC - Owner Occupied since 5/31/2007,n/a,n/a,(no active services),n/a
2327 10TH ST #4,OOCC - Owner Occupied since 5/31/2007,n/a,n/a,(no active services),n/a
2334 10TH ST #1,RENTED - Rented or Available,1/20/16,"$3,100.00","Garbage, Water",# Bed: 3# Occ: 3
2334 10TH ST #2,RENTED - Rented or Available,9/1/14,"$2,740.50","Garbage, Water",# Bed: 3# Occ: 3
2334 10TH ST #3,RENTED - Rented or Available,12/1/05,"$1,653.34","Garbage, Other, Parking, Sewer, Water",# Bed: 3# Occ: 1
2334 10TH ST #4,(~) MISC - Exempt-Misc since 7/20/1997,n/a,n/a,"Garbage, Parking",n/a
2401 10TH ST,NAR - Not Available for Rent since 6/12/2015,n/a,n/a,"Appliances, Garbage",n/a
2403 10TH ST,NAR - Not Available for Rent since 6/12/2015,n/a,n/a,"Appliances, Garbage, Laundry Access, Water",n/a
2406 10TH ST,"CHSFD - Single family, C-H exempt since 3/1/2005",n/a,n/a,(no active services),n/a
2407 10TH ST,OOCC - Owner Occupied since 7/13/1990,n/a,n/a,(no active services),n/a
2407 10TH ST #1/2,OOCC - Owner Occupied since 7/13/1990,n/a,n/a,(no active services),n/a
2409 10TH ST,RENTED - Rented or Available,6/3/06,"$1,438.77","Garbage, Laundry Access, Parking, Storage",# Bed: 1# Occ: 2
