Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
1620 BLAKE ST #5,RENTED - Rented or Available,5/1/14,"$1,410.85","Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
1620 BLAKE ST #6,RENTED - Rented or Available,9/1/14,"$1,466.68","Garbage, Laundry Access, Parking, Storage",# Bed: 1# Occ: 1
1620 BLAKE ST #7,(~) MISC - Exempt-Misc since 1/1/2010,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1621 BLAKE ST #1,RENTED - Rented or Available since 3/16/2001,n/a,$621.25,"Garbage, Laundry Access, Parking",# Bed: 1
1621 BLAKE ST #2,RENTED - Rented or Available since 3/16/2001,n/a,$738.25,"Garbage, Laundry Access, Parking",# Bed: 1
1621 BLAKE ST #3,RENTED - Rented or Available,5/12/14,"$1,515.40","Appliances, Garbage",# Bed: 1# Occ: 2
1621 BLAKE ST #4,RENTED - Rented or Available,10/1/11,"$1,386.69","Garbage, Laundry Access",# Bed: 1# Occ: 1
1621 BLAKE ST #5,RENTED - Rented or Available,9/1/14,"$1,517.43","Appliances, Garbage",# Bed: 1# Occ: 2
1621 BLAKE ST #6,RENTED - Rented or Available,6/24/14,"$1,517.43","Appliances, Garbage",# Bed: 1# Occ: 2
1621 BLAKE ST #7,RENTED - Rented or Available,6/10/02,"$1,088.26",Garbage,# Bed: 2# Occ: 1
1621 BLAKE ST #8,RENTED - Rented or Available,5/31/80,$645.11,"Garbage, Laundry Access, Other",# Bed: 1# Occ: 0
1621 BLAKE ST #9,RENTED - Rented or Available,4/15/15,"$1,695.00",Garbage,# Bed: 1# Occ: 1
1621 BLAKE ST #10,RENTED - Rented or Available,9/15/09,"$1,068.18",Garbage,# Bed: 1# Occ: 1
1625 BLAKE ST #11,RENTED - Rented or Available,4/3/14,"$1,513.87","Appliances, Garbage",# Bed: 1# Occ: 1
1625 BLAKE ST #12,RENTED - Rented or Available,11/17/12,"$1,363.51",Garbage,# Bed: 1# Occ: 1
1625 BLAKE ST #13,RENTED - Rented or Available,5/15/15,"$1,695.00",Garbage,# Bed: 1# Occ: 2
1625 BLAKE ST #14,RENTED - Rented or Available since 4/1/1995,n/a,$631.96,"Garbage, Laundry Access, Parking",# Bed: 1
1625 BLAKE ST #15,RENTED - Rented or Available,1/1/82,$616.82,"Garbage, Laundry Access, Parking",# Bed: 1# Occ: 0
1625 BLAKE ST #16,RENTED - Rented or Available,2/13/14,"$1,515.40","Appliances, Garbage",# Bed: 1# Occ: 1
1625 BLAKE ST #17,RENTED - Rented or Available,9/25/13,"$1,547.77",Garbage,# Bed: 1# Occ: 2
1625 BLAKE ST #18,RENTED - Rented or Available,8/24/13,"$1,397.66",Garbage,# Bed: 1# Occ: 2
1625 BLAKE ST #19,RENTED - Rented or Available,5/23/14,"$1,515.40","Appliances, Garbage",# Bed: 1# Occ: 2
1625 BLAKE ST #20,RENTED - Rented or Available,7/1/11,"$1,097.57",Garbage,# Bed: 1# Occ: 1
1634 BLAKE ST,"CHSFD - Single family, C-H exempt since 9/9/2000",n/a,n/a,(no active services),n/a
1711 BLAKE ST #A,NAR - Not Available for Rent since 1/18/2016,n/a,n/a,"Appliances, Garbage, Parking, Water",n/a
1711 BLAKE ST #B,RENTED - Rented or Available,5/19/04,$832.46,"Appliances, Garbage, Parking, Water",# Bed: 1# Occ: 1
1711 BLAKE ST #C,NAR - Not Available for Rent since 5/14/2016,n/a,n/a,"Garbage, Parking, Water",n/a
1711 BLAKE ST #D,NAR - Not Available for Rent since 2/1/2015,n/a,n/a,"Appliances, Garbage, Parking, Water",n/a
1711 BLAKE ST #2A,RENTED - Rented or Available,5/31/80,$682.50,"Appliances, Garbage, Parking, Water",# Bed: 1# Occ: 0
1711 BLAKE ST #2B,RENTED - Rented or Available since 9/17/2012,n/a,$682.50,"Appliances, Garbage, Parking, Water",# Bed: 2
1717 BLAKE ST #A,RENTED - Rented or Available,3/11/15,"$2,800.00","Garbage, Laundry Access, Parking",# Bed: 3# Occ: 3
1717 BLAKE ST #B,RENTED - Rented or Available,5/10/14,"$2,004.63","Garbage, Laundry Access, Parking",# Bed: 2# Occ: 2
1717 BLAKE ST #C,RENTED - Rented or Available,11/1/13,"$2,436.00","Garbage, Laundry Access, Parking",# Bed: 3# Occ: 3
1717 BLAKE ST #D,RENTED - Rented or Available,8/8/12,"$1,658.33","Garbage, Laundry Access, Parking",# Bed: 2# Occ: 2
1720 BLAKE ST #1,OOCC - Owner Occupied since 2/28/2002,n/a,n/a,"Parking, Storage",n/a
1720 BLAKE ST #2,OOCC - Owner Occupied since 2/28/2002,n/a,n/a,"Parking, Storage",n/a
1720 BLAKE ST #3,OOCC - Owner Occupied since 2/28/2002,n/a,n/a,"Parking, Storage",n/a
1734 BLAKE ST #A,RENTED - Rented or Available,5/29/04,"$1,218.96","Garbage, Laundry Access",# Bed: 2# Occ: 2
1734 BLAKE ST #B,RENTED - Rented or Available,8/1/14,"$1,714.34","Appliances, Garbage",# Bed: 2# Occ: 2
1734 BLAKE ST #C,RENTED - Rented or Available,8/1/16,"$2,350.00",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #D,RENTED - Rented or Available,8/1/11,"$1,284.96",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #E,RENTED - Rented or Available,6/2/16,"$2,100.00",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #F,RENTED - Rented or Available,8/1/15,"$1,899.00",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #G,RENTED - Rented or Available,8/1/12,"$1,395.10",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #H,RENTED - Rented or Available,8/10/14,"$1,673.74",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #I,RENTED - Rented or Available,5/31/80,"$1,073.74","Garbage, Laundry Access, Parking",# Bed: 2# Occ: 0
1734 BLAKE ST #J,RENTED - Rented or Available,8/1/12,"$1,395.10","Appliances, Garbage",# Bed: 2# Occ: 2
1734 BLAKE ST #K,RENTED - Rented or Available,1/1/16,"$1,995.00",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #L,RENTED - Rented or Available,8/1/16,"$2,350.00",Garbage,# Bed: 2# Occ: 1
1734 BLAKE ST #M,RENTED - Rented or Available,6/1/15,"$1,850.00",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #N,RENTED - Rented or Available,6/15/16,"$2,100.00",Garbage,# Bed: 2# Occ: 2
1734 BLAKE ST #O,RENTED - Rented or Available,8/10/10,"$1,304.43","Appliances, Garbage",# Bed: 2# Occ: 2
1736 BLAKE ST #A,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
1736 BLAKE ST #B,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
1742 BLAKE ST #1,RENTED - Rented or Available,8/1/07,"$1,633.07","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 2
1742 BLAKE ST #2,RENTED - Rented or Available,3/10/15,"$1,995.00","Garbage, Water",# Bed: 1# Occ: 1
1742 BLAKE ST #3,RENTED - Rented or Available since 3/15/2003,n/a,$813.56,(no active services),# Bed: 1
1742 BLAKE ST #4,RENTED - Rented or Available,3/15/15,"$2,195.00","Garbage, Water",# Bed: 1# Occ: 2
1743 BLAKE ST #A,RENTED - Rented or Available,9/15/03,"$1,666.55","Garbage, Water",# Bed: 2# Occ: 3
1743 BLAKE ST #B,OOCC - Owner Occupied since 7/1/2011,n/a,n/a,"Garbage, Water",n/a
1743 BLAKE ST #1/2,RENTED - Rented or Available,8/2/08,"$1,523.10","Garbage, Water",# Bed: 1# Occ: 1
1800 BLAKE ST #LOWER,RENTED - Rented or Available,8/1/06,"$1,985.00","Garbage, Parking, Water",# Bed: 2# Occ: 3
1800 BLAKE ST #UPPER,RENTED - Rented or Available,8/1/07,"$2,085.00","Garbage, Water",# Bed: 3# Occ: 4
2531 GRANT ST #1,NAR - Not Available for Rent since 7/1/2010,n/a,n/a,"Appliances, Laundry Access",n/a
2533 GRANT ST #LOWER,NAR - Not Available for Rent since 7/1/2010,n/a,n/a,Appliances,n/a
1801 BLAKE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Parking",n/a
1809 BLAKE ST #A,RENTED - Rented or Available,6/28/14,"$1,827.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1809 BLAKE ST #B,RENTED - Rented or Available,6/1/16,"$3,200.00","Garbage, Water",# Bed: 2# Occ: 4
1809 BLAKE ST #C,RENTED - Rented or Available,5/7/16,"$3,200.00","Garbage, Water",# Bed: 2# Occ: 3
1809 BLAKE ST #D,RENTED - Rented or Available,8/15/02,"$1,185.23","Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
1809 BLAKE ST #E,RENTED - Rented or Available since 9/21/2009,n/a,"$1,150.32","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1
1809 BLAKE ST #F,RENTED - Rented or Available,7/2/12,"$1,579.35","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1809 BLAKE ST #G,RENTED - Rented or Available,5/31/80,$651.60,"Garbage, Laundry Access, Storage, Water",# Bed: 2# Occ: 0
1818 BLAKE ST #A,OOCC - Owner Occupied since 6/15/1999,n/a,n/a,(no active services),n/a
1818 BLAKE ST #B,NAR - Not Available for Rent since 6/1/2015,n/a,n/a,"Appliances, Electricity, Garbage, Gas, Heat, Water",n/a
1818 BLAKE ST #C,RENTED - Rented or Available,10/13/08,"$1,014.40","Appliances, Garbage, Heat, Water",# Bed: 1# Occ: 1
1819 BLAKE ST,RENTED - Rented or Available,12/9/12,"$2,369.03","Garbage, Water",# Bed: 2# Occ: 2
1821 BLAKE ST #A,RENTED - Rented or Available,2/1/04,"$1,129.76","Garbage, Parking, Water",# Bed: 1# Occ: 1
1821 BLAKE ST #B,RENTED - Rented or Available,10/1/09,"$1,259.88","Garbage, Water",# Bed: 1# Occ: 1
1821 BLAKE ST #C,RENTED - Rented or Available,4/15/10,"$1,251.12","Garbage, Water",# Bed: 1# Occ: 1
1821 BLAKE ST #D,RENTED - Rented or Available,1/15/96,$755.36,(no active services),# Bed: 1# Occ: 1
1823 BLAKE ST #A,OOCC - Owner Occupied since 6/26/2012,n/a,n/a,"Appliances, Furnishings, Garbage, Laundry Access, Parking",n/a
1823 BLAKE ST #B,RENTED - Rented or Available,6/29/13,"$1,449.42","Appliances, Furnishings, Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
1825 BLAKE ST #A,OOCC - Owner Occupied since 6/1/2012,n/a,n/a,"Appliances, Garbage, Water",n/a
1825 BLAKE ST #B,RENTED - Rented or Available,7/15/15,"$2,200.00","Appliances, Cable TV, Furnishings, Garbage, Laundry Access, Other, Water",# Bed: 1# Occ: 1
1824 BLAKE ST,RENTED - Rented or Available,8/1/11,"$1,793.60",Garbage,# Bed: 1# Occ: 2
1826 BLAKE ST,RENTED - Rented or Available,3/15/14,"$1,979.25",Garbage,# Bed: 1# Occ: 2
1828 BLAKE ST,RENTED - Rented or Available,9/19/15,"$2,650.00","Appliances, Garbage, Heat, Laundry Access, Other, Storage",# Bed: 1# Occ: 2
1830 BLAKE ST,RENTED - Rented or Available,10/1/15,"$2,950.00","Appliances, Garbage, Heat, Laundry Access, Other, Storage",# Bed: 1# Occ: 2
1834 BLAKE ST,OOCC - Owner Occupied since 4/30/1990,n/a,n/a,(no active services),n/a
1834 BLAKE ST #A,NAR - Not Available for Rent since 3/1/2003,n/a,n/a,Garbage,n/a
1834 BLAKE ST #B,NAR - Not Available for Rent since 3/1/2003,n/a,n/a,Garbage,n/a
1844 BLAKE ST #A,RENTED - Rented or Available,7/31/07,"$1,914.64","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
1844 BLAKE ST #B,RENTED - Rented or Available,6/25/10,"$1,359.92","Garbage, Water",# Bed: 1# Occ: 2
1844 BLAKE ST #C,RENTED - Rented or Available,7/1/00,$944.34,"Appliances, Garbage, Parking, Storage, Water",# Bed: 1# Occ: 1
1844 BLAKE ST #D,RENTED - Rented or Available,7/20/13,"$2,277.66","Garbage, Water",# Bed: 2# Occ: 2
1924 BLAKE ST,RENTED - Rented or Available,7/1/12,"$2,211.09","Appliances, Cable TV, Garbage",# Bed: 2# Occ: 2
1924 BLAKE ST #A,RENTED - Rented or Available,10/7/13,"$2,484.72","Appliances, Garbage",# Bed: 2# Occ: 2
1926 BLAKE ST,RENTED - Rented or Available since 6/1/2016,n/a,$760.08,"Garbage, Water",# Bed: 1
1926 BLAKE ST #A,RENTED - Rented or Available,12/15/11,"$2,248.68","Appliances, Garbage",# Bed: 2# Occ: 1
1930 BLAKE ST #A,NAR - Not Available for Rent since 1/1/2010,n/a,n/a,Garbage,n/a
1930 BLAKE ST #B,RENTED - Rented or Available,9/10/12,"$1,421.42","Appliances, Garbage",# Bed: 1# Occ: 2
1930 BLAKE ST #C,RENTED - Rented or Available,10/1/05,"$1,211.99","Appliances, Garbage, Water",# Bed: 1# Occ: 1
1930 BLAKE ST #D,(~) MISC - Exempt-Misc since 7/1/1997,n/a,n/a,"Electricity, Garbage, Gas, Storage, Water",n/a
1930 BLAKE ST #E,RENTED - Rented or Available since 8/1/1997,n/a,$901.78,"Electricity, Garbage, Gas, Storage, Water",# Bed: 2
1932 BLAKE ST,OOCC - Owner Occupied since 7/1/2010,n/a,n/a,"Appliances, Garbage, Laundry Access, Other, Parking, Storage, Water",n/a
1934 BLAKE ST,RENTED - Rented or Available,8/1/11,"$1,070.80","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
1936 BLAKE ST #12,RENTED - Rented or Available,1/1/16,"$1,750.00","Garbage, Water",# Bed: 1# Occ: 2
1936 BLAKE ST #14,RENTED - Rented or Available,8/23/11,"$1,606.20","Garbage, Water",# Bed: 2# Occ: 2
1936 BLAKE ST #16,RENTED - Rented or Available,5/25/07,"$1,576.75","Garbage, Water",# Bed: 2# Occ: 1
1936 BLAKE ST #18,RENTED - Rented or Available,8/24/13,"$2,225.90","Garbage, Water",# Bed: 2# Occ: 3
1936 BLAKE ST #22,RENTED - Rented or Available,6/2/16,"$2,200.00","Garbage, Water",# Bed: 2# Occ: 2
1936 BLAKE ST #24,RENTED - Rented or Available,10/1/12,"$1,684.64","Garbage, Water",# Bed: 2# Occ: 1
1936 BLAKE ST #26,RENTED - Rented or Available,7/8/13,"$1,708.25","Garbage, Water",# Bed: 2# Occ: 2
1936 BLAKE ST #28,RENTED - Rented or Available,8/19/11,"$1,659.74","Garbage, Water",# Bed: 2# Occ: 3
1936 BLAKE ST #32,RENTED - Rented or Available,1/12/06,"$1,496.34","Garbage, Water",# Bed: 2# Occ: 2
1936 BLAKE ST #34,RENTED - Rented or Available,4/18/12,"$1,684.64","Garbage, Water",# Bed: 2# Occ: 2
1936 BLAKE ST #36,RENTED - Rented or Available,7/1/14,"$2,030.00","Garbage, Water",# Bed: 2# Occ: 3
1936 BLAKE ST #38,RENTED - Rented or Available,7/23/10,"$1,740.70","Garbage, Water",# Bed: 2# Occ: 1
1936 BLAKE ST #42,RENTED - Rented or Available,5/17/15,"$2,000.00","Garbage, Water",# Bed: 1# Occ: 2
2000 BLAKE ST,RENTED - Rented or Available,5/1/98,$781.24,"Garbage, Sewer",# Bed: 2# Occ: 0
2002 BLAKE ST,RENTED - Rented or Available,4/17/97,$649.01,"Garbage, Sewer",# Bed: 2# Occ: 0
2004 BLAKE ST,NEW - New Construction since 12/23/2014,n/a,n/a,"Appliances, Garbage, Sewer",n/a
2006 BLAKE ST,RENTED - Rented or Available,5/31/80,$682.46,"Garbage, Sewer",# Bed: 2# Occ: 0
2533 MILVIA ST,RENTED - Rented or Available,6/1/13,"$2,898.84","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2535 MILVIA ST,RENTED - Rented or Available,5/31/80,$689.14,"Garbage, Parking, Sewer",# Bed: 2# Occ: 0
2007 BLAKE ST,NAR - Not Available for Rent since 1/1/2006,n/a,n/a,Parking,n/a
2011 BLAKE ST,COMM - Commercial,12/31/95,n/a,(no active services),n/a
2016 BLAKE ST #1,RENTED - Rented or Available,11/17/14,"$1,618.93","Garbage, Water",# Bed: 2# Occ: 1
2016 BLAKE ST #2,RENTED - Rented or Available,11/15/13,"$1,345.89","Garbage, Parking, Water",# Bed: 2# Occ: 2
2016 BLAKE ST #3,RENTED - Rented or Available,5/31/80,$754.74,"Garbage, Parking, Water",# Bed: 2# Occ: 0
2016 BLAKE ST #4,RENTED - Rented or Available,7/1/15,"$1,895.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2016 BLAKE ST #5,RENTED - Rented or Available,8/1/13,"$1,754.83","Garbage, Parking, Water",# Bed: 2# Occ: 3
2016 BLAKE ST #6,RENTED - Rented or Available,2/1/00,$818.91,"Garbage, Water",# Bed: 2# Occ: 2
2016 BLAKE ST #7,RENTED - Rented or Available,5/31/80,$754.74,"Garbage, Parking, Water",# Bed: 2# Occ: 0
2016 BLAKE ST #8,RENTED - Rented or Available,5/31/80,$752.76,"Garbage, Parking, Water",# Bed: 2# Occ: 0
2020 BLAKE ST #A,RENTED - Rented or Available,7/15/07,"$1,689.39",(no active services),# Bed: 3# Occ: 3
2020 BLAKE ST #B,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Storage",n/a
2020 BLAKE ST #1/2,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Furnishings, Garbage, Storage",n/a
2021 BLAKE ST #A,RENTED - Rented or Available,9/1/14,"$1,877.75","Appliances, Garbage",# Bed: 2# Occ: 2
2021 BLAKE ST #B,RENTED - Rented or Available,9/1/13,"$1,656.48",Garbage,# Bed: 3# Occ: 2
2021 BLAKE ST #C,RENTED - Rented or Available,5/1/16,"$1,595.00","Appliances, Garbage",# Bed: 2# Occ: 2
2021 BLAKE ST #D,RENTED - Rented or Available,6/1/12,"$1,600.41",Garbage,# Bed: 2# Occ: 2
2023 BLAKE ST,OOCC - Owner Occupied since 6/7/1999,n/a,n/a,Garbage,n/a
2121 BLAKE ST #1,RENTED - Rented or Available,5/1/11,"$1,713.28","Appliances, Garbage, Water",# Bed: 2# Occ: 2
2121 BLAKE ST #2,RENTED - Rented or Available,5/31/80,$729.40,"Furnishings, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 0
2121 BLAKE ST #3,RENTED - Rented or Available,10/20/10,$979.14,"Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
2121 BLAKE ST #4,RENTED - Rented or Available,10/20/10,$979.14,"Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2121 BLAKE ST #5,RENTED - Rented or Available,7/3/12,"$1,052.90","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2121 BLAKE ST #6,RENTED - Rented or Available,10/1/12,"$1,052.90","Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
2121 BLAKE ST #7,RENTED - Rented or Available,5/31/80,$799.47,"Furnishings, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 0
2121 BLAKE ST #8,RENTED - Rented or Available,6/8/12,"$1,579.35","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2121 BLAKE ST #9,RENTED - Rented or Available,9/7/03,$989.94,"Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
2121 BLAKE ST #10,RENTED - Rented or Available,10/1/10,$924.74,"Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2121 BLAKE ST #11,RENTED - Rented or Available,5/31/12,$947.61,"Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2121 BLAKE ST #12,RENTED - Rented or Available,5/13/11,$963.72,"Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2121 BLAKE ST #1A,RENTED - Rented or Available,6/2/12,$947.61,"Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 2
2121 BLAKE ST #COTT,RENTED - Rented or Available,11/1/11,$963.72,(no active services),# Bed: 0# Occ: 1
2124 BLAKE ST #1,RENTED - Rented or Available,9/1/16,"$2,095.00","Garbage, Laundry Access, Water",# Bed: 2# Occ: 1
2124 BLAKE ST #2,RENTED - Rented or Available,11/1/10,"$1,849.48","Garbage, Water",# Bed: 3# Occ: 3
2124 BLAKE ST #3,RENTED - Rented or Available,5/31/80,$741.93,"Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 0
2124 BLAKE ST #4,RENTED - Rented or Available,1/30/15,"$1,750.00","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2124 BLAKE ST #5,RENTED - Rented or Available,7/20/15,"$1,800.00","Garbage, Water",# Bed: 2# Occ: 2
2124 BLAKE ST #6,RENTED - Rented or Available,8/21/12,"$1,210.83","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2124 BLAKE ST #7,RENTED - Rented or Available,5/31/80,$741.93,"Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 0
2124 BLAKE ST #8,RENTED - Rented or Available since 6/20/1999,n/a,$742.70,"Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2
2124 BLAKE ST #9,RENTED - Rented or Available,2/5/12,"$1,421.42","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 3
2124 BLAKE ST #10,RENTED - Rented or Available,10/23/13,"$1,397.66","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2126 BLAKE ST,RENTED - Rented or Available,12/5/12,"$2,895.48","Garbage, Water",# Bed: 3# Occ: 4
2126 BLAKE ST #B,OOCC - Owner Occupied since 10/1/2012,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
2127 BLAKE ST #LOWER,(~) MISC - Exempt-Misc since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
2127 BLAKE ST #UPPER,NAR - Not Available for Rent since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
2131 BLAKE ST #1,RENTED - Rented or Available since 7/1/1980,n/a,$763.98,"Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 2
2131 BLAKE ST #2,RENTED - Rented or Available since 7/1/1980,n/a,$957.98,"Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 3
2131 BLAKE ST #3,RENTED - Rented or Available,3/1/12,$884.44,"Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 2
2131 BLAKE ST #4,RENTED - Rented or Available,8/22/07,$844.69,"Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 2# Occ: 2
2131 BLAKE ST #5,RENTED - Rented or Available,4/1/14,$888.13,"Appliances, Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 1
2131 BLAKE ST #6,RENTED - Rented or Available since 3/1/1993,n/a,$620.39,"Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 1
2131 BLAKE ST #7,RENTED - Rented or Available,8/28/00,$850.31,"Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 2# Occ: 2
2131 BLAKE ST #8,RENTED - Rented or Available,8/1/07,$895.39,"Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 2# Occ: 1
2131 BLAKE ST #9,RENTED - Rented or Available,9/1/07,$895.39,"Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 2# Occ: 2
2131 BLAKE ST #10,RENTED - Rented or Available,9/11/00,$731.10,"Appliances, Garbage, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 1# Occ: 1
2143 BLAKE ST,MISC - Exempt-Misc since 6/30/1994,n/a,n/a,"Furnishings, Garbage, Parking, Storage",n/a
2152 BLAKE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
2154 BLAKE ST,OOCC - Owner Occupied since 4/16/1991,n/a,n/a,(no active services),n/a
2156 BLAKE ST,OOCC - Owner Occupied since 4/16/1991,n/a,n/a,(no active services),n/a
2158 BLAKE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
2172 BLAKE ST #1,RENTED - Rented or Available,7/30/14,"$1,852.38","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2172 BLAKE ST #2,RENTED - Rented or Available,5/31/80,$909.99,Laundry Access,# Bed: 2# Occ: 0
2172 BLAKE ST #3,RENTED - Rented or Available,1/20/11,"$1,124.34","Garbage, Laundry Access",# Bed: 1# Occ: 2
2172 BLAKE ST #4,RENTED - Rented or Available,6/1/16,"$2,500.00","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2172 BLAKE ST #5,RENTED - Rented or Available,3/1/14,"$1,750.88","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2172 BLAKE ST #6,RENTED - Rented or Available since 9/12/2012,n/a,"$1,579.35","Garbage, Laundry Access, Water",# Bed: 2
2172 BLAKE ST #7,RENTED - Rented or Available,6/3/16,"$2,600.00","Garbage, Laundry Access, Water",# Bed: 2# Occ: 3
2172 BLAKE ST #8,RENTED - Rented or Available,6/1/16,"$2,300.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 3
2172 BLAKE ST #9,RENTED - Rented or Available,6/1/12,"$1,500.38","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2172 BLAKE ST #10,RENTED - Rented or Available,7/27/15,"$2,250.00","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2198 BLAKE ST,OOCC - Owner Occupied since 3/2/1992,n/a,n/a,(no active services),n/a
2534 FULTON ST #UPR,RENTED - Rented or Available,5/19/14,"$3,308.90","Appliances, Garbage, Laundry Access",# Bed: 3# Occ: 4
2536 FULTON ST #LWR,RENTED - Rented or Available,8/1/14,"$2,283.75","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 1
2202 BLAKE ST,RENTED - Rented or Available,6/1/14,"$4,389.88","Appliances, Garbage, Laundry Access",# Bed: 3# Occ: 6
2529 FULTON ST #1,RENTED - Rented or Available,6/1/14,"$2,740.50","Appliances, Garbage, Laundry Access",# Bed: 2# Occ: 2
